ID_DO_PRODUTO,PRODUTO_DE_CONEXAO,NPS,ID_EJ,EJ,FEDERACAO,PARTICIPANTES,CLUSTER,ECM META,ECM ATUAL,MEMBROS TOTAL,MEMBROS ECM,GAP MEMBROS
1013,EGEJ 26,,596,Renova Jr.,FEJERS,5,3,"0,69","0,15",47,7,26
1013,EGEJ 26,,604,Faísca Design Júnior,FEJERS,5,1,"0,50","0,19",58,11,18
1013,EGEJ 26,,722,"EME JR. | Soluções em Engenharia de Materiais, Metalurgia & Minas",FEJERS,9,2,"0,71","0,38",32,12,11
1013,EGEJ 26,,749,Enfitec Júnior,FEJERS,17,2,"0,54","0,67",27,18,0
1013,EGEJ 26,,808,RENOVE JR.,FEJERS,12,2,"0,61","0,61",21,13,0
1013,EGEJ 26,,892,Floresta Jr - Consultoria e Planejamento Ambiental e Florestal,FEJERS,2,1,"0,50","0,27",11,3,3
1013,EGEJ 26,,1020,Quimlabor Jr.,FEJERS,7,2,"0,60","0,50",14,7,2
1013,EGEJ 26,,1021,Sinc,FEJERS,3,1,"0,50","0,38",8,3,1
1013,EGEJ 26,,1234,Motora Jr.,FEJERS,12,1,"0,68","0,59",27,16,3
1013,EGEJ 26,,1244,F5 Junior - Consultoria Internacional,FEJERS,27,3,"0,75","0,75",39,29,1
1013,EGEJ 26,,1494,NutriAção,FEJERS,4,1,"0,50","0,22",18,4,5
1013,EGEJ 26,,1534,Opus Consultoria Júnior,FEJERS,1,1,"0,50","0,33",6,2,1
1013,EGEJ 26,,1694,Atlântica Consultoria Internacional,FEJERS,4,1,"0,50","0,29",28,8,6
1013,EGEJ 26,,2029,Emad Jr,FEJERS,14,1,"0,75","0,58",26,15,5
1013,EGEJ 26,,2284,CultivaSul Jr,FEJERS,7,1,"0,51","0,51",23,12,0
1013,EGEJ 26,,2438,Incentive Jr,FEJERS,2,1,"0,50","0,07",30,2,13
1013,EGEJ 26,,2520,CincoLinha Jr,FEJERS,3,1,"0,50","0,14",29,4,11
1013,EGEJ 26,,2598,Legacy PUCRS Empresa Júnior ,FEJERS,16,1,"0,75","0,80",25,20,0
1013,EGEJ 26,,2608,Escritório Júnior Ruy Cirne Lima,FEJERS,3,1,"0,50","0,08",38,3,16
1013,EGEJ 26,,2803,Neodonto Jr. - Empresa Júnior de Odontologia,FEJERS,3,1,"0,50","0,19",16,3,5
1013,EGEJ 26,,3000,AGR Jr. Consultoria Agronômica ,FEJERS,13,2,"0,56","0,86",22,19,0
1013,EGEJ 26,,3076,Irradiation,FEJERS,2,1,"0,50","0,33",9,3,2
1013,EGEJ 26,,3253,BioCode Jr.,FEJERS,2,1,"0,50","0,14",14,2,5
1013,EGEJ 26,,3258,RELAB Jr. Consultoria,FEJERS,14,1,"0,50","0,62",26,16,0
1013,EGEJ 26,,3275,Nuvem Jr.,FEJERS,20,3,"0,75","0,77",30,23,0
1013,EGEJ 26,,3339,Rumivet Jr. Consultoria Veterinária,FEJERS,2,1,"0,51","0,31",13,4,3
1013,EGEJ 26,,3454,Crop Jr.,FEJERS,1,1,"0,68","0,25",4,1,2
1013,EGEJ 26,,3604,Hut8,FEJERS,18,0,"0,50","0,72",25,18,0
1026,Cerrado em Destaque ,,123,Base Júnior - Arquitetura e Engenharia Civil,FEJERS,5,4,"0,75","1,00",32,32,0
1026,Cerrado em Destaque ,,1018,EcoLógica Jr.,FEJERS,1,1,"0,65","0,00",7,0,5
1026,Cerrado em Destaque ,,3000,AGR Jr. Consultoria Agronômica ,FEJERS,6,2,"0,56","0,86",22,19,0
1026,Cerrado em Destaque ,,3258,RELAB Jr. Consultoria,FEJERS,1,1,"0,50","0,62",26,16,0
1040, MEJ TANK,,2520,CincoLinha Jr,FEJERS,1,1,"0,50","0,14",29,4,11
1042,ACELERA'26,,2284,CultivaSul Jr,FEJERS,3,1,"0,51","0,51",23,12,0
,,,,,,,,"0,00","0,00",#REF!,#REF!,#REF!
